,Strategy,Market
Total Return,5.173503877847215,0.8325179596723689
CAGR,0.1996461719621343,0.06244100496604643
Annualized Volatility,0.30772849229354393,0.1217957228081447
Sharpe Ratio,0.7456296710762774,0.5582067617001291
Sortino Ratio,1.151313458587711,0.9602590730525111
Max Drawdown,-0.44889173961832424,-0.19193490630528684
Calmar Ratio,0.44475349921093654,0.32532386196979374
Win Rate,0.5293650793650794,0.5107142857142857
Avg Win,0.014901074940344467,0.006282400691862108
Avg Loss,-0.0148259013705929,-0.0060061457666260535
Profit Factor,1.1304923628521548,1.0918053911445023
N Days,2520.0,2520.0
N Years,10.0,10.0
