entry_day,exit_day,type,shares,entry_price,exit_price,entry_z,exit_z,pnl,holding_days,return_pct
99,165,LONG,859,93.07,105.67,-1.3247370286380145,-0.42833501994097856,10823.400000000007,66,13.538197055979381
292,333,LONG,815,98.04,110.2,-1.295688395420835,-0.3864767089783752,9910.399999999998,41,12.403100775193796
383,557,SHORT,603,132.54,126.01,1.3331228222193638,0.4638725141013451,3937.589999999992,174,4.926814546551975
683,775,LONG,741,107.84,119.45,-1.2586949986532252,-0.4933400716040896,8603.01,92,10.765949554896142
831,881,LONG,720,111.05,122.75,-1.2853108412218959,-0.43100156884832075,8424.000000000002,50,10.535794687077896
900,949,LONG,708,112.84,123.53,-1.273855300579419,-0.49973984907131863,7568.519999999999,49,9.473590925203828
1029,1046,SHORT,538,148.55,136.59,1.3794979031354457,0.37381680150002117,6434.480000000004,17,8.051161225176713
1056,1130,SHORT,539,148.34,139.85,1.3099400596904698,0.4756636080649724,4576.110000000005,74,5.723338276931381
1203,1289,SHORT,529,151.18,143.23,1.2551779306216888,0.4414922544585919,4205.550000000009,86,5.2586320941923645
1404,1455,LONG,650,122.94,136.57,-1.4321020785277354,-0.42278065463847664,8859.499999999996,51,11.086708963722137
1591,1602,SHORT,496,161.03,147.39,1.3020686239261865,0.17142491041086863,6765.440000000008,11,8.47047134074397
1702,1709,SHORT,486,164.35,152.53,1.3563151406065501,0.38145638016219274,5744.519999999997,7,7.1919683602068725
1776,1904,LONG,605,132.12,149.03,-1.4085995388841432,-0.2821989628469642,10230.549999999997,128,12.798970632758094
1933,1965,LONG,583,137.06,148.95,-1.312017638865221,-0.4072702572393696,6931.869999999992,32,8.675032832336193
2127,2136,SHORT,459,173.99,163.93,1.3142110474174271,0.478595617868091,4617.540000000001,9,5.781941490890282
2180,2209,SHORT,454,176.16,165.52,1.3876689204671677,0.46601152680193275,4830.559999999994,29,6.039963669391455
2219,2242,SHORT,453,176.57,165.61,1.3452077942802614,0.4091887992615335,4964.879999999991,23,6.207169960922004
2415,2423,SHORT,443,180.5,170.61,1.283848101239133,0.4640014923104603,4381.269999999994,8,5.4792243767312945
2443,2450,SHORT,438,182.46,167.95,1.3888202346968515,0.1951991813730763,6355.380000000008,7,7.952427929409195
2516,2520,SHORT,437,182.68,185.45,1.264821890379837,1.4823153478354671,-1210.489999999992,4,-1.516312677906712
