stock,LOW,MID,HIGH
K,1.216022252898557,0.6289061092075314,0.0812054326708772
O,0.9175090566672128,0.13057235542540532,0.22001863167139332
A,0.9101861042023816,0.4149295609548806,-0.016869193152963795
Y,0.3552130206146687,0.5900656829040014,0.5720278275211169
C,0.3481341691567936,0.8982386902817757,-0.13930260960666727
M,0.30912604133762517,0.2569135056591034,0.7846882508367937
V,0.296501350714159,0.0847547828223659,0.6966352150727301
L,0.28432865047084804,0.04127769521986547,0.7424599757663384
N,0.27979016092239295,0.2500232867872849,0.8868841725733927
D,0.2681663984793527,-0.2499529621717622,-0.054009740554150795
U,0.16362527955378867,-0.9659697683660835,0.6372447741635313
H,0.08021019370951778,0.11460275990877844,-0.09350964059640865
S,-0.09128489165502973,-0.06298090445972389,0.37565311370880783
B,-0.15528102534220983,-0.09292017472404836,-0.33380220324179916
T,-0.1712183885068271,-0.10843871156287443,-0.15425387963572243
W,-0.2398112931309003,0.3456570611013819,1.267453863865892
I,-0.24227232871465437,-0.7093731618171398,0.4900159935868836
E,-0.31326937522149395,-0.003854709817420192,0.49764595075189044
R,-0.5893507915482649,-0.8331437528915782,0.9294216149377321
Q,-0.6473046218594807,-0.04993441306014627,1.548741153038816
X,-1.4738684913259865,-0.27367637911637105,0.34344442992754176
P,-1.5247185251666162,-0.4259973944247075,0.5317288383929556
